case_id,point,parameter,residual_norm,stable,unstable_dimension,state_0,state_1
MC-EQ-002,0,-2,0,1,0,0,0
MC-EQ-002,1,-1.98,0,1,0,0,0
MC-EQ-002,2,-1.954,0,1,0,0,0
MC-EQ-002,3,-1.9202,0,1,0,0,0
MC-EQ-002,4,-1.87626,0,1,0,0,0
MC-EQ-002,5,-1.82626,0,1,0,0,0
MC-EQ-002,6,-1.77626,0,1,0,0,0
MC-EQ-002,7,-1.72626,0,1,0,0,0
MC-EQ-002,8,-1.67626,0,1,0,0,0
MC-EQ-002,9,-1.62626,0,1,0,0,0
MC-EQ-002,10,-1.57626,0,1,0,0,0
MC-EQ-002,11,-1.52626,0,1,0,0,0
MC-EQ-002,12,-1.47626,0,1,0,0,0
MC-EQ-002,13,-1.42626,0,1,0,0,0
MC-EQ-002,14,-1.37626,0,1,0,0,0
MC-EQ-002,15,-1.32626,0,1,0,0,0
MC-EQ-002,16,-1.27626,0,1,0,0,0
MC-EQ-002,17,-1.22626,0,1,0,0,0
MC-EQ-002,18,-1.17626,0,1,0,0,0
MC-EQ-002,19,-1.12626,0,1,0,0,0
MC-EQ-002,20,-1.07626,0,1,0,0,0
MC-EQ-002,21,-1.02626,0,1,0,0,0
MC-EQ-002,22,-0.976259999999999,0,1,0,0,0
MC-EQ-002,23,-0.926259999999999,0,1,0,0,0
MC-EQ-002,24,-0.876259999999999,0,1,0,0,0
MC-EQ-002,25,-0.826259999999999,0,1,0,0,0
MC-EQ-002,26,-0.776259999999999,0,1,0,0,0
MC-EQ-002,27,-0.726259999999999,0,1,0,0,0
MC-EQ-002,28,-0.676259999999999,0,1,0,0,0
MC-EQ-002,29,-0.626259999999999,0,1,0,0,0
MC-EQ-002,30,-0.576259999999999,0,1,0,0,0
MC-EQ-002,31,-0.526259999999999,0,1,0,0,0
MC-EQ-002,32,-0.476259999999999,0,1,0,0,0
MC-EQ-002,33,-0.426259999999999,0,1,0,0,0
MC-EQ-002,34,-0.376259999999999,0,1,0,0,0
MC-EQ-002,35,-0.326259999999999,0,1,0,0,0
MC-EQ-002,36,-0.276259999999999,0,1,0,0,0
MC-EQ-002,37,-0.226259999999999,0,1,0,0,0
MC-EQ-002,38,-0.176259999999999,0,1,0,0,0
MC-EQ-002,39,-0.126259999999999,0,1,0,0,0
MC-EQ-002,40,-0.0762599999999987,0,1,0,0,0
MC-EQ-002,41,-0.0262599999999987,0,1,0,0,0
